2, 79, 200, -nan, 6319.69, -nan, 0, -nan, 650.111, -nan, 288.384, -nan, 6229.13
3, 80, 200, -nan, 6162.81, -nan, 0, -nan, 393.509, -nan, 163.256, -nan, 6118.79
3, 81, 200, 13632.6, 6399.01, 0, 0, 0, 337.764, 271.996, 145.794, 13616.6, 6364.66
3, 82, 200, -nan, 6476.98, -nan, 0, -nan, 381.526, -nan, 105.575, -nan, 6443.31
3, 83, 200, -nan, 6751.72, -nan, 0, -nan, 306.624, -nan, 234.045, -nan, 6705.67
3, 84, 200, 23460.3, 8546.72, 57.3813, 0, 1432.62, 442.778, 810.874, 233.86, 23124.2, 8496.39
3, 85, 200, -nan, 5824.02, -nan, 0, -nan, 342.21, -nan, 199.554, -nan, 5784.66
3, 86, 200, 1030.77, 7599.4, 0, 4.90463, 193.263, 267.118, 213.498, 95.1165, 983.858, 7578.33
3, 87, 200, 13938.8, 7725.84, 0, 3.43324, 386.167, 492.147, 189.768, 246.338, 13913.7, 7666.01
3, 88, 200, 19108.9, 6313.2, 245.172, 0, 960.244, 469.796, 1485.24, 161.226, 18929.8, 6267.62
3, 89, 200, 6741.8, 6680.37, 137.625, 0, 672.542, 687.898, 946.772, 404.766, 6578.68, 6550.47
3, 90, 200, -nan, 6540.34, -nan, 0, -nan, 281.09, -nan, 196.775, -nan, 6509.52
3, 91, 200, 3071.21, 6451.07, 67.8833, 0, 464.033, 515.889, 326.599, 170.068, 2805.95, 6400.06
3, 92, 200, -nan, 6353.97, -nan, 0, -nan, 466.181, -nan, 186.596, -nan, 6313.27
3, 93, 200, 689.444, 6954.64, 83.6853, 3.30609, 371.672, 363.893, 243.711, 141.348, 500.716, 6921.83
3, 94, 200, -nan, 6861.54, -nan, 0, -nan, 645.866, -nan, 282.679, -nan, 6762.49
3, 95, 200, 16631.8, 6927.29, 24.7956, 0, 466.16, 345.886, 322.545, 136.68, 16543.1, 6887.36
3, 96, 200, -nan, 7168.39, -nan, 0, -nan, 303.044, -nan, 189.472, -nan, 7116.31
3, 97, 200, -nan, 5824.42, -nan, 0, -nan, 443.728, -nan, 340.001, -nan, 5737.93
3, 98, 200, -nan, 6609.87, -nan, 0, -nan, 618.765, -nan, 240.958, -nan, 6534.32
3, 99, 200, -nan, 6795.33, -nan, 3.71935, -nan, 565.67, -nan, 273.217, -nan, 6718.78
3, 100, 200, 9129.51, 7442.45, 0, 0, 563.707, 427.884, 0, 284.89, 9092.18, 7397.88
3, 101, 200, -nan, 6227.88, -nan, 7.69231, -nan, 714.62, -nan, 344.2, -nan, 6085.33
3, 102, 200, -nan, 7551.41, -nan, 0, -nan, 376.709, -nan, 190.928, -nan, 7511.1
3, 103, 200, -nan, 7797.79, -nan, 3.65837, -nan, 554.218, -nan, 245.878, -nan, 7732.33
3, 104, 200, -nan, 6245.5, -nan, 0, -nan, 297.933, -nan, 225.1, -nan, 6211.36
3, 105, 200, -nan, 6480.22, -nan, 0, -nan, 392.142, -nan, 244.687, -nan, 6431.54
3, 106, 200, -nan, 6890.27, -nan, 0, -nan, 597.814, -nan, 266.511, -nan, 6800.05
3, 107, 200, -nan, 6120.25, -nan, 0, -nan, 604.719, -nan, 229.408, -nan, 6040.84
3, 108, 200, -nan, 6063.37, -nan, 3.54223, -nan, 434.239, -nan, 150.867, -nan, 6018.72
3, 109, 200, -nan, 6982.23, -nan, 0, -nan, 341.526, -nan, 220.345, -nan, 6938.13
3, 110, 200, 20984.6, 7506.09, 0, 0, 843.414, 357.886, 747.301, 365.31, 20908.3, 7453.98
3, 111, 200, -nan, 5715.3, -nan, 0, -nan, 559.974, -nan, 437.278, -nan, 5611.92
3, 112, 200, -nan, 6746.53, -nan, 0, -nan, 473.868, -nan, 283.339, -nan, 6692.84
3, 113, 200, -nan, 6769.66, -nan, 0, -nan, 453.776, -nan, 365.885, -nan, 6702.97
3, 114, 200, -nan, 6309.13, -nan, 0, -nan, 421.327, -nan, 171.678, -nan, 6268.77
3, 115, 200, -nan, 6751.97, -nan, 0, -nan, 401.702, -nan, 293.897, -nan, 6695.78
3, 116, 200, -nan, 6739.77, -nan, 0, -nan, 848.349, -nan, 416.716, -nan, 6561.64
3, 117, 200, -nan, 6146.18, -nan, 3.48689, -nan, 579.475, -nan, 469.616, -nan, 6043
3, 118, 200, -nan, 6602.7, -nan, 0, -nan, 507.153, -nan, 196.931, -nan, 6549.56
3, 119, 200, -nan, 6372.96, -nan, 0, -nan, 504.892, -nan, 238.283, -nan, 6297.09
4, 120, 200, -nan, 7271.66, -nan, 0, -nan, 425.723, -nan, 347.187, -nan, 7224.33
4, 121, 200, -nan, 6628.02, -nan, 0, -nan, 546.822, -nan, 168.552, -nan, 6575.3
4, 122, 200, -nan, 5887.15, -nan, 0, -nan, 639.63, -nan, 449.974, -nan, 5736.11
4, 123, 200, -nan, 7211.89, -nan, 0, -nan, 365.734, -nan, 151.53, -nan, 7177.59
4, 124, 200, -nan, 7100.63, -nan, 0, -nan, 222.91, -nan, 127.718, -nan, 7082.85
4, 125, 200, -nan, 6655.75, -nan, 0, -nan, 481.64, -nan, 208.088, -nan, 6599.04
4, 126, 200, -nan, 5990.14, -nan, 0, -nan, 546.838, -nan, 440.305, -nan, 5905.47
4, 127, 200, -nan, 6524.37, -nan, 0, -nan, 373.206, -nan, 170.977, -nan, 6488.89
4, 128, 200, 748.12, 6965.57, 0, 0, 0, 438.353, 725.109, 146.641, 179.47, 6910.8
4, 129, 200, 4175.85, 6305.36, 0, 0, 684.523, 510.498, 0, 352.306, 4098.03, 6229.22
4, 130, 200, -nan, 6344.57, -nan, 0, -nan, 517.151, -nan, 222.995, -nan, 6264.33
4, 131, 200, -nan, 6955.61, -nan, 0, -nan, 880.446, -nan, 365.302, -nan, 6736.95
4, 132, 200, -nan, 6129.11, -nan, 0, -nan, 698.803, -nan, 396.942, -nan, 6005.53
4, 133, 200, -nan, 6203.77, -nan, 0, -nan, 565.029, -nan, 268.561, -nan, 6139.23
4, 134, 200, -nan, 6687.31, -nan, 0, -nan, 486.523, -nan, 129.797, -nan, 6638.12
4, 135, 200, -nan, 7173.66, -nan, 0, -nan, 615.169, -nan, 233.984, -nan, 7056.57
4, 136, 200, -nan, 6126.51, -nan, 0, -nan, 511.716, -nan, 134.526, -nan, 6070.93
4, 137, 200, -nan, 6061.41, -nan, 0, -nan, 698.234, -nan, 336.665, -nan, 5968.16
4, 138, 200, -nan, 6243.06, -nan, 0, -nan, 681.306, -nan, 79.4819, -nan, 6160.52
4, 139, 200, -nan, 6232.08, -nan, 0, -nan, 376.438, -nan, 159.311, -nan, 6193.79
4, 140, 200, -nan, 6745.95, -nan, 0, -nan, 337.637, -nan, 108.015, -nan, 6715.98
4, 141, 200, -nan, 6515.11, -nan, 0, -nan, 445.474, -nan, 218.701, -nan, 6467.18
4, 142, 200, -nan, 6365.48, -nan, 0, -nan, 482.992, -nan, 288.267, -nan, 6297.05
4, 143, 200, -nan, 6083.11, -nan, 0, -nan, 635.668, -nan, 182.85, -nan, 6016.04
4, 144, 200, -nan, 6185.46, -nan, 0, -nan, 552.098, -nan, 368.161, -nan, 6105.56
4, 145, 200, -nan, 6606.03, -nan, 0, -nan, 383.081, -nan, 143.211, -nan, 6572.06
4, 146, 200, -nan, 6518.59, -nan, 0, -nan, 463.215, -nan, 380.509, -nan, 6435.17
4, 147, 200, 764.464, 6328.72, 0, 0, 0, 502.15, 742.996, 317.324, 179.856, 6271.96
4, 148, 200, 621.845, 6526.04, 0, 0, 0, 566.921, 607.533, 245.231, 132.523, 6453.65
4, 149, 200, -nan, 6514.93, -nan, 0, -nan, 538.504, -nan, 358.264, -nan, 6427.99
4, 150, 200, -nan, 6315.14, -nan, 0, -nan, 808.596, -nan, 455.25, -nan, 6121.25
4, 151, 200, -nan, 5947.83, -nan, 0, -nan, 593.965, -nan, 291.052, -nan, 5873.07
4, 152, 200, -nan, 5869.85, -nan, 0, -nan, 524.013, -nan, 249.906, -nan, 5804.23
4, 153, 200, -nan, 6098.79, -nan, 0, -nan, 455.72, -nan, 233.738, -nan, 6041.63
4, 154, 200, -nan, 7002.36, -nan, 0, -nan, 343.027, -nan, 113.279, -nan, 6975.9
4, 155, 200, -nan, 6235.92, -nan, 0, -nan, 396.232, -nan, 285.21, -nan, 6190.18
4, 156, 200, -nan, 6228.69, -nan, 0, -nan, 571.349, -nan, 359.125, -nan, 6145.52
4, 157, 200, -nan, 6266.57, -nan, 0, -nan, 466.075, -nan, 241.576, -nan, 6203.72
4, 158, 200, -nan, 6688.06, -nan, 0, -nan, 443.103, -nan, 232.932, -nan, 6626.49
4, 159, 200, -nan, 6521.75, -nan, 0, -nan, 487.54, -nan, 399.284, -nan, 6423.77
5, 160, 200, -nan, 6382.47, -nan, 0, -nan, 423.426, -nan, 329.22, -nan, 6319.61
5, 161, 200, -nan, 5826.21, -nan, 0, -nan, 672.689, -nan, 318.271, -nan, 5721.1
5, 162, 200, -nan, 6648.56, -nan, 0, -nan, 557.382, -nan, 206.436, -nan, 6583.37
5, 163, 200, -nan, 6079.18, -nan, 0, -nan, 747.309, -nan, 316.404, -nan, 5968.94
5, 164, 200, 7362.07, 6062.14, 0, 0, 183.735, 591.501, 0, 323.231, 7349.91, 5974.25
5, 165, 200, -nan, 6745.03, -nan, 0, -nan, 692.962, -nan, 528.699, -nan, 6542.15
5, 166, 200, -nan, 6195.25, -nan, 0, -nan, 451.036, -nan, 281.38, -nan, 6132.49
5, 167, 200, -nan, 6964.54, -nan, 0, -nan, 379.857, -nan, 158.185, -nan, 6930.89
5, 168, 200, -nan, 7148.96, -nan, 0, -nan, 517.41, -nan, 196.149, -nan, 7086.5
5, 169, 200, 9460.06, 6276.87, 0, 0, 416.29, 495.124, 0, 280.107, 9430.97, 6210.16
