4, 154, 200, -nan, 0.689557, -nan, 0.00724505
4, 155, 200, -nan, 0.618646, -nan, 0.00396265
4, 156, 200, -nan, 0.643762, -nan, 0.00831998
4, 157, 200, -nan, 0.619627, -nan, 0.00916573
4, 158, 200, -nan, 0.658938, -nan, 0.0055064
4, 159, 200, -nan, 0.676908, -nan, 0.00774476
5, 160, 200, -nan, 0.646323, -nan, 0.00805745
5, 161, 200, -nan, 0.629382, -nan, 0.00337731
5, 162, 200, -nan, 0.695285, -nan, 0.00792956
5, 163, 200, -nan, 0.611713, -nan, 0.00876914
5, 164, 200, 0.125, 0.613531, -0.818605, 0.00774886
5, 165, 200, -nan, 0.728609, -nan, 0.00743348
5, 166, 200, -nan, 0.649596, -nan, 0.008689
5, 167, 200, -nan, 0.664084, -nan, 0.00826012
5, 168, 200, -nan, 0.729809, -nan, 0.00701862
5, 169, 200, 0.142857, 0.617707, -0.805589, 0.00707889
5, 170, 200, -nan, 0.650159, -nan, 0.00979612
5, 171, 200, -nan, 0.742773, -nan, 0.00846628
5, 172, 200, -nan, 0.650128, -nan, 0.00679872
5, 173, 200, -nan, 0.628819, -nan, 0.00545412
5, 174, 200, 0.125, 0.641665, -0.816616, 0.0089192
5, 175, 200, -nan, 0.692107, -nan, 0.00785056
5, 176, 200, -nan, 0.654259, -nan, 0.00149053
5, 177, 200, -nan, 0.617686, -nan, 0.00739726
5, 178, 200, -nan, 0.68136, -nan, 0.00951934
5, 179, 200, -nan, 0.668045, -nan, 0.00836121
5, 180, 200, -nan, 0.667107, -nan, 0.00812359
5, 181, 200, -nan, 0.635947, -nan, 0.00883887
5, 182, 200, -nan, 0.597131, -nan, 0.0079281
5, 183, 200, -nan, 0.603916, -nan, 0.00754957
5, 184, 200, 0.0714286, 0.636969, -0.793732, 0.00362566
5, 185, 200, 0.0416667, 0.64329, -0.822504, 0.0101998
5, 186, 200, -nan, 0.669649, -nan, 0.00968821
5, 187, 200, -nan, 0.648655, -nan, 0.00762539
5, 188, 200, -nan, 0.628229, -nan, 0.00684547
5, 189, 200, -nan, 0.650643, -nan, 0.00883403
5, 190, 200, -nan, 0.728765, -nan, 0.0089262
5, 191, 200, -nan, 0.734145, -nan, 0.00354953
5, 192, 200, -nan, 0.562114, -nan, 0.0106351
5, 193, 200, -nan, 0.643534, -nan, 0.00780372
5, 194, 200, -nan, 0.701874, -nan, 0.00620228
5, 195, 200, 0.125, 0.705901, -0.818962, 0.000140955
5, 196, 200, -nan, 0.663926, -nan, 0.00505903
5, 197, 200, -nan, 0.60557, -nan, 0.00592275
5, 198, 200, -nan, 0.582896, -nan, 0.00729793
5, 199, 200, -nan, 0.627476, -nan, 0.00723751
6, 200, 200, -nan, 0.625667, -nan, 0.00793264
6, 201, 200, -nan, 0.590871, -nan, 0.00530047
6, 202, 200, -nan, 0.609052, -nan, 0.00695077
6, 203, 200, -nan, 0.632368, -nan, 0.00846575
6, 204, 200, -nan, 0.625765, -nan, 0.00761798
6, 205, 200, -nan, 0.649939, -nan, 0.00846087
6, 206, 200, -nan, 0.649928, -nan, 0.00692657
6, 207, 200, -nan, 0.644083, -nan, 0.0084738
6, 208, 200, -nan, 0.612641, -nan, 0.00781014
6, 209, 200, 0.125, 0.641825, -0.841022, 0.00660495
6, 210, 200, 0.142857, 0.6342, -0.819676, 0.0076305
6, 211, 200, -nan, 0.6642, -nan, 0.00384611
6, 212, 200, -nan, 0.635667, -nan, -0.000763445
6, 213, 200, -nan, 0.633231, -nan, 0.00780492
6, 214, 200, -nan, 0.629448, -nan, 0.0060038
6, 215, 200, -nan, 0.648134, -nan, 0.0066248
6, 216, 200, -nan, 0.616827, -nan, 0.00833138
6, 217, 200, -nan, 0.567378, -nan, 0.00768008
6, 218, 200, -nan, 0.640262, -nan, 0.00678012
6, 219, 200, -nan, 0.654983, -nan, 0.00846855
6, 220, 200, -nan, 0.671627, -nan, 0.00854014
6, 221, 200, -nan, 0.717948, -nan, 0.00408271
6, 222, 200, -nan, 0.620691, -nan, 0.00784581
6, 223, 200, -nan, 0.649317, -nan, 0.00670232
6, 224, 200, -nan, 0.66459, -nan, 0.00916352
6, 225, 200, -nan, 0.685271, -nan, 0.00750117
6, 226, 200, -nan, 0.617452, -nan, 0.00777661
