2, 79, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 80, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 81, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 82, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 83, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 84, 200, 14235.7, 35563, 198.384, 0, 899.963, 1674.66, 996.159, 2202.67, 13976.1, 35151.9
3, 85, 200, 5890.08, 9942.23, 244.414, 0, 653.551, 1579.54, 708.411, 1670.18, 5413.79, 9205.78
3, 86, 200, 10065.3, 18054.8, 232.868, 80.1031, 1077.96, 894.006, 863.971, 921.056, 9602.74, 17849.1
3, 87, 200, 2844.39, 12118.9, 192.772, 0, 718.967, 604.52, 438.403, 535.767, 2554.56, 12002.8
3, 88, 200, 717.364, 7612.75, 120.685, 13.5879, 549.559, 780.148, 120.685, 375.774, 428.152, 7479.61
3, 89, 200, 13135.5, 9135.27, 157.467, 27.7778, 713.538, 903.169, 633.54, 395.458, 12710.8, 9001.19
3, 90, 200, -nan, 6662.3, -nan, 0, -nan, 1017.86, -nan, 542.181, -nan, 6462.38
3, 91, 200, -nan, 6161.59, -nan, 10.3527, -nan, 1752.02, -nan, 1246.51, -nan, 5513.39
3, 92, 200, 18331.5, 6885.51, 0, 0, 995.416, 1607.79, 0, 1187.03, 18248.4, 6252.46
3, 93, 200, -nan, 6409.44, -nan, 0, -nan, 2392.77, -nan, 1728.92, -nan, 5109.26
3, 94, 200, 744.149, 6904.99, 47.9314, 0, 535.789, 970.828, 234.385, 956.072, 447.235, 6522.58
3, 95, 200, -nan, 5053.51, -nan, 0, -nan, 1434.7, -nan, 817.575, -nan, 4559.68
3, 96, 200, -nan, 6072.24, -nan, 0, -nan, 1247.73, -nan, 858.167, -nan, 5630.58
3, 97, 200, 600.153, 7678.05, 0, 0, 409.507, 793.948, 152.173, 625.779, 408.954, 7477.43
3, 98, 200, -nan, 6672.42, -nan, 0, -nan, 706.656, -nan, 378.182, -nan, 6537.39
3, 99, 200, 15315.9, 6055.28, 0, 0, 651.061, 1090.35, 0, 502.589, 15280.5, 5753.37
3, 100, 200, -nan, 6279.03, -nan, 18.5185, -nan, 1042.33, -nan, 629.214, -nan, 5912.95
3, 101, 200, -nan, 7239.92, -nan, 0, -nan, 1602.97, -nan, 1574.78, -nan, 6267.52
3, 102, 200, 10502.4, 6330.35, 0, 7.8302, 752.722, 1161.53, 0, 927.763, 10450.5, 5863.01
3, 103, 200, -nan, 7185.75, -nan, 0, -nan, 1230.08, -nan, 646.813, -nan, 6935.82
3, 104, 200, -nan, 6496.27, -nan, 0, -nan, 1180.71, -nan, 746.084, -nan, 6090.03
3, 105, 200, -nan, 6641.26, -nan, 0, -nan, 396.672, -nan, 281.426, -nan, 6583.99
3, 106, 200, -nan, 6065.39, -nan, 0, -nan, 802.625, -nan, 393.855, -nan, 5882.99
3, 107, 200, -nan, 6735.13, -nan, 0, -nan, 505.786, -nan, 321.634, -nan, 6667.72
3, 108, 200, -nan, 7752.93, -nan, 0, -nan, 528.547, -nan, 372.541, -nan, 7645.55
3, 109, 200, -nan, 6169.93, -nan, 19.7642, -nan, 1218.8, -nan, 756.006, -nan, 5850.25
3, 110, 200, -nan, 5633.09, -nan, 0, -nan, 832.152, -nan, 552.153, -nan, 5434.7
3, 111, 200, -nan, 6079.64, -nan, 0, -nan, 961.321, -nan, 832.206, -nan, 5740.6
3, 112, 200, 10910.1, 7146.13, 0, 0, 897.592, 1329.22, 0, 896.296, 10836.1, 6733.23
3, 113, 200, -nan, 6401.19, -nan, 0, -nan, 737.57, -nan, 338.53, -nan, 6260.63
3, 114, 200, -nan, 6300.02, -nan, 15.529, -nan, 1406.72, -nan, 876.772, -nan, 5719.09
3, 115, 200, -nan, 6179.49, -nan, 0, -nan, 863.248, -nan, 565.049, -nan, 5992.85
3, 116, 200, -nan, 5312.58, -nan, 0, -nan, 996.463, -nan, 718.442, -nan, 5025.55
3, 117, 200, -nan, 7713.59, -nan, 0, -nan, 509.504, -nan, 298.757, -nan, 7640.1
3, 118, 200, -nan, 5769.42, -nan, 0, -nan, 454.077, -nan, 104.404, -nan, 5725.48
3, 119, 200, 687.099, 6920.44, 0, 0, 0, 510.439, 687.099, 302.356, 0, 6854.49
4, 120, 200, 783.295, 6542.39, 0, 0, 783.295, 529.56, 0, 324.851, 0, 6473.99
4, 121, 200, 894.191, 6857.51, 0, 18.1818, 894.191, 1861.74, 0, 1046.04, 0, 6157.1
4, 122, 200, -nan, 6002.58, -nan, 0, -nan, 1483.5, -nan, 880.152, -nan, 5447.71
4, 123, 200, -nan, 6290.35, -nan, 0, -nan, 908.51, -nan, 593.776, -nan, 6075.26
4, 124, 200, -nan, 6112.16, -nan, 0, -nan, 965.438, -nan, 560.265, -nan, 5787.26
4, 125, 200, -nan, 5416.34, -nan, 0, -nan, 1184.95, -nan, 712.995, -nan, 5051.51
4, 126, 200, -nan, 4904.16, -nan, 0, -nan, 1229.47, -nan, 745.898, -nan, 4491.9
4, 127, 200, -nan, 6883.06, -nan, 13.5879, -nan, 479.045, -nan, 338.835, -nan, 6815.99
4, 128, 200, -nan, 6125.75, -nan, 0, -nan, 1399.82, -nan, 952.392, -nan, 5550.93
4, 129, 200, -nan, 5079.78, -nan, 21.7391, -nan, 871.681, -nan, 623.246, -nan, 4852.51
