8, 284, 200, -nan, 0.658869, -nan, 0.0062209
8, 285, 200, -nan, 0.704648, -nan, 0.00679391
8, 286, 200, -nan, 0.636687, -nan, 0.00577128
8, 287, 200, -nan, 0.69732, -nan, 0.00591489
8, 288, 200, -nan, 0.705645, -nan, 0.00644931
8, 289, 200, -nan, 0.714521, -nan, 0.00662653
8, 290, 200, -nan, 0.709216, -nan, 0.00502527
8, 291, 200, -nan, 0.69048, -nan, 0.00331464
8, 292, 200, -nan, 0.649052, -nan, 0.00702459
8, 293, 200, -nan, 0.706327, -nan, 0.00309412
8, 294, 200, -nan, 0.684802, -nan, 0.00682702
8, 295, 200, -nan, 0.697538, -nan, 0.00636269
8, 296, 200, 0.125, 0.699551, -0.83161, 0.00578851
8, 297, 200, -nan, 0.684909, -nan, 0.00724523
8, 298, 200, -nan, 0.671243, -nan, 0.00632772
8, 299, 200, -nan, 0.644888, -nan, 0.00637879
8, 300, 200, -nan, 0.66049, -nan, 0.00649074
8, 301, 200, -nan, 0.620161, -nan, 0.0066788
8, 302, 200, -nan, 0.611508, -nan, 0.000409545
8, 303, 200, -nan, 0.655801, -nan, 0.00656447
8, 304, 200, -nan, 0.604127, -nan, 0.00628252
8, 305, 200, -nan, 0.623662, -nan, 0.00465306
8, 306, 200, -nan, 0.671949, -nan, 0.00625766
8, 307, 200, -nan, 0.616743, -nan, -0.00127707
8, 308, 200, 0.125, 0.631112, -0.847209, 0.00601925
8, 309, 200, -nan, 0.622259, -nan, 0.00609193
8, 310, 200, -nan, 0.627167, -nan, 0.00688772
8, 311, 200, -nan, 0.685898, -nan, 0.00707913
8, 312, 200, -nan, 0.681144, -nan, 0.00688516
8, 313, 200, -nan, 0.685321, -nan, 0.00723785
8, 314, 200, -nan, 0.624255, -nan, 0.00548925
8, 315, 200, 0.0625, 0.63295, -0.843602, 0.00657368
8, 316, 200, 0.0625, 0.658715, -0.832768, 0.00613152
8, 317, 200, -nan, 0.644219, -nan, 0.0032901
8, 318, 200, -nan, 0.600208, -nan, 0.00678985
8, 319, 200, 0.0416667, 0.717823, -0.84433, 0.00657413
9, 320, 200, -nan, 0.6208, -nan, 0.00332113
9, 321, 200, -nan, 0.626634, -nan, 0.00683811
9, 322, 200, -nan, 0.655512, -nan, 0.00698832
9, 323, 200, -nan, 0.678084, -nan, 0.00595933
9, 324, 200, -nan, 0.625455, -nan, 0.00740614
9, 325, 200, -nan, 0.661249, -nan, 0.00652662
9, 326, 200, -nan, 0.677315, -nan, 0.00638084
9, 327, 200, 0.125, 0.64248, -0.806831, 0.00631905
9, 328, 200, -nan, 0.634575, -nan, 0.00679947
9, 329, 200, -nan, 0.691459, -nan, 0.00446739
9, 330, 200, -nan, 0.659439, -nan, 0.00734229
9, 331, 200, -nan, 0.65561, -nan, 0.00675315
9, 332, 200, -nan, 0.677152, -nan, 0.00594533
9, 333, 200, 0.0625, 0.675128, -0.83046, 0.00698526
9, 334, 200, -nan, 0.608267, -nan, 0.0051678
9, 335, 200, -nan, 0.656988, -nan, 0.0021516
9, 336, 200, -nan, 0.590195, -nan, 0.00656553
9, 337, 200, -nan, 0.632357, -nan, 0.00683922
9, 338, 200, -nan, 0.641978, -nan, 0.00527724
9, 339, 200, -nan, 0.631107, -nan, 0.00677799
9, 340, 200, -nan, 0.651033, -nan, 0.00751517
9, 341, 200, -nan, 0.629499, -nan, 0.00130857
9, 342, 200, -nan, 0.616313, -nan, 0.00652847
9, 343, 200, -nan, 0.6117, -nan, 0.00628698
9, 344, 200, -nan, 0.619508, -nan, 0.00467881
9, 345, 200, -nan, 0.651175, -nan, 0.00674467
9, 346, 200, -nan, 0.620428, -nan, 0.00644626
9, 347, 200, -nan, 0.620164, -nan, 0.00369309
9, 348, 200, -nan, 0.633158, -nan, 0.00663647
9, 349, 200, -nan, 0.659143, -nan, 0.00644372
9, 350, 200, -nan, 0.631429, -nan, 0.00256679
9, 351, 200, -nan, 0.611594, -nan, 0.00613262
9, 352, 200, 0.125, 0.760625, -0.823296, 0.0060912
