5, 165, 200, -nan, 6275.06, -nan, 0, -nan, 0, -nan, 0, -nan, 6275.06
5, 166, 200, -nan, 6727.74, -nan, 0, -nan, 0, -nan, 0, -nan, 6727.74
5, 167, 200, -nan, 6157.45, -nan, 0, -nan, 0, -nan, 0, -nan, 6157.45
5, 168, 200, -nan, 7908.96, -nan, 0, -nan, 0, -nan, 0, -nan, 7908.96
5, 169, 200, -nan, 6058.2, -nan, 0, -nan, 0, -nan, 0, -nan, 6058.2
5, 170, 200, -nan, 6334.85, -nan, 0, -nan, 0, -nan, 0, -nan, 6334.85
5, 171, 200, -nan, 6334.57, -nan, 0, -nan, 0, -nan, 0, -nan, 6334.57
5, 172, 200, 12874.6, 6978.43, 0, 0, 0, 0, 0, 0, 12874.6, 6978.43
5, 173, 200, -nan, 6066.57, -nan, 0, -nan, 0, -nan, 0, -nan, 6066.57
5, 174, 200, -nan, 6955.93, -nan, 0, -nan, 0, -nan, 0, -nan, 6955.93
5, 175, 200, -nan, 6741.01, -nan, 0, -nan, 0, -nan, 0, -nan, 6741.01
5, 176, 200, -nan, 6185.03, -nan, 0, -nan, 0, -nan, 0, -nan, 6185.03
5, 177, 200, -nan, 6210.88, -nan, 0, -nan, 0, -nan, 0, -nan, 6210.88
5, 178, 200, -nan, 6495.89, -nan, 0, -nan, 0, -nan, 0, -nan, 6495.89
5, 179, 200, -nan, 6343.65, -nan, 0, -nan, 0, -nan, 0, -nan, 6343.65
5, 180, 200, -nan, 6304.13, -nan, 0, -nan, 0, -nan, 0, -nan, 6304.13
5, 181, 200, -nan, 6697.9, -nan, 0, -nan, 0, -nan, 0, -nan, 6697.9
5, 182, 200, 10640.3, 6460.04, 0, 0, 0, 0, 0, 0, 10640.3, 6460.04
5, 183, 200, -nan, 6644.91, -nan, 0, -nan, 0, -nan, 0, -nan, 6644.91
5, 184, 200, 12826.8, 6975.71, 0, 0, 0, 0, 0, 0, 12826.8, 6975.71
5, 185, 200, -nan, 6747.29, -nan, 0, -nan, 0, -nan, 0, -nan, 6747.29
5, 186, 200, -nan, 8396.14, -nan, 0, -nan, 0, -nan, 0, -nan, 8396.14
5, 187, 200, -nan, 6097.83, -nan, 0, -nan, 0, -nan, 0, -nan, 6097.83
5, 188, 200, -nan, 6696.7, -nan, 0, -nan, 0, -nan, 0, -nan, 6696.7
5, 189, 200, -nan, 6581.51, -nan, 0, -nan, 0, -nan, 0, -nan, 6581.51
5, 190, 200, -nan, 6521.99, -nan, 0, -nan, 0, -nan, 0, -nan, 6521.99
5, 191, 200, -nan, 6530.03, -nan, 0, -nan, 0, -nan, 0, -nan, 6530.03
5, 192, 200, -nan, 6115.36, -nan, 0, -nan, 0, -nan, 0, -nan, 6115.36
5, 193, 200, -nan, 5904.96, -nan, 0, -nan, 0, -nan, 0, -nan, 5904.96
5, 194, 200, -nan, 6232.11, -nan, 0, -nan, 0, -nan, 0, -nan, 6232.11
5, 195, 200, 7768.86, 6405.91, 0, 0, 0, 0, 0, 0, 7768.86, 6405.91
5, 196, 200, -nan, 6367.54, -nan, 0, -nan, 0, -nan, 0, -nan, 6367.54
5, 197, 200, -nan, 6452.92, -nan, 0, -nan, 0, -nan, 0, -nan, 6452.92
5, 198, 200, -nan, 6763.44, -nan, 0, -nan, 0, -nan, 0, -nan, 6763.44
5, 199, 200, -nan, 6585.18, -nan, 0, -nan, 0, -nan, 0, -nan, 6585.18
6, 200, 200, -nan, 6498.86, -nan, 0, -nan, 0, -nan, 0, -nan, 6498.86
6, 201, 200, -nan, 7200.9, -nan, 0, -nan, 0, -nan, 0, -nan, 7200.9
6, 202, 200, -nan, 7210.03, -nan, 0, -nan, 0, -nan, 0, -nan, 7210.03
6, 203, 200, -nan, 6755.11, -nan, 0, -nan, 0, -nan, 0, -nan, 6755.11
