5, 193, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00353937
5, 194, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00352736
5, 195, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00351507
5, 196, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00350351
5, 197, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00353099
5, 198, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00356704
5, 199, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00355257
6, 200, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00349805
6, 201, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00356332
6, 202, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00352592
6, 203, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00352743
6, 204, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00350959
6, 205, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00350403
6, 206, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00353596
6, 207, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00350466
6, 208, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0034876
6, 209, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00342015
6, 210, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00344985
6, 211, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00351124
6, 212, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00346346
6, 213, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00345578
6, 214, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00347824
6, 215, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00347699
6, 216, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00343755
6, 217, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00344606
6, 218, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00344479
6, 219, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00341891
6, 220, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00339805
6, 221, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00337864
6, 222, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00327144
6, 223, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00313282
6, 224, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00283414
6, 225, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00261815
6, 226, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00263488
6, 227, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00264831
6, 228, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00266308
6, 229, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00260968
6, 230, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0026205
6, 231, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00265283
6, 232, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00262463
6, 233, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00262505
6, 234, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0026304
6, 235, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00260853
6, 236, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00262574
6, 237, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00262891
6, 238, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00261656
6, 239, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00259559
7, 240, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00252111
7, 241, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00269679
7, 242, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00267771
7, 243, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00266547
7, 244, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00267967
7, 245, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00270161
7, 246, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0027113
7, 247, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00269629
7, 248, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0026893
7, 249, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00269299
7, 250, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00269378
7, 251, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0026853
7, 252, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00269368
7, 253, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00267815
7, 254, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00264342
7, 255, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00269043
7, 256, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00269227
7, 257, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0026877
7, 258, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00269711
7, 259, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00266199
7, 260, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00265396
7, 261, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00266709
7, 262, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00269124
7, 263, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00269991
7, 264, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00266048
7, 265, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00270307
7, 266, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00264487
