6, 231, 200, -nan, 0.61759, -nan, -0.0025708
6, 232, 200, -nan, 0.641807, -nan, 0.0187863
6, 233, 200, -nan, 0.602896, -nan, 0.0169175
6, 234, 200, -nan, 0.638613, -nan, -0.00250316
6, 235, 200, -nan, 0.649656, -nan, -0.0141834
6, 236, 200, -nan, 0.635693, -nan, 0.00776016
6, 237, 200, -nan, 0.561365, -nan, -0.00779227
6, 238, 200, -nan, 0.620964, -nan, -0.00573572
6, 239, 200, -nan, 0.574496, -nan, 0.025531
7, 240, 200, -nan, 0.657975, -nan, -0.0121755
7, 241, 200, -nan, 0.602393, -nan, 0.0153428
7, 242, 200, -nan, 0.552369, -nan, 0.010378
7, 243, 200, -nan, 0.546044, -nan, 0.0172319
7, 244, 200, -nan, 0.588699, -nan, 0.0115832
7, 245, 200, -nan, 0.56049, -nan, -0.00533354
7, 246, 200, -nan, 0.58225, -nan, 0.0191455
7, 247, 200, -nan, 0.620024, -nan, 0.0178329
7, 248, 200, 0.0263158, 0.72403, -0.816425, -0.0164946
7, 249, 200, 0.0333333, 0.627453, -0.79111, -0.0123254
7, 250, 200, -nan, 0.624528, -nan, 0.00653543
7, 251, 200, -nan, 0.558653, -nan, -0.00926783
7, 252, 200, -nan, 0.578738, -nan, 0.00570623
7, 253, 200, -nan, 0.623945, -nan, 0.016021
7, 254, 200, -nan, 0.506552, -nan, -0.0083453
7, 255, 200, -nan, 0.686614, -nan, 0.00904737
7, 256, 200, -nan, 0.625535, -nan, -0.00158348
7, 257, 200, -nan, 0.623016, -nan, 0.0175269
7, 258, 200, -nan, 0.668983, -nan, -0.0105749
7, 259, 200, -nan, 0.513737, -nan, -0.00714694
7, 260, 200, -nan, 0.553992, -nan, -0.0104232
7, 261, 200, -nan, 0.599674, -nan, -0.0142099
7, 262, 200, -nan, 0.62278, -nan, -0.0222897
7, 263, 200, -nan, 0.636682, -nan, 0.0184583
7, 264, 200, -nan, 0.652734, -nan, -0.00716304
7, 265, 200, -nan, 0.578298, -nan, 0.000994536
7, 266, 200, -nan, 0.580516, -nan, -0.0164759
7, 267, 200, 0.125, 0.647429, -0.852237, 0.0199997
7, 268, 200, -nan, 0.631273, -nan, -0.00711853
7, 269, 200, -nan, 0.579039, -nan, 0.0031496
7, 270, 200, -nan, 0.614145, -nan, 0.0172337
7, 271, 200, -nan, 0.549208, -nan, 0.00757814
7, 272, 200, -nan, 0.550482, -nan, -0.00892142
7, 273, 200, -nan, 0.597099, -nan, 0.00199583
7, 274, 200, -nan, 0.664987, -nan, -0.0108015
7, 275, 200, -nan, 0.628861, -nan, -0.00762342
7, 276, 200, -nan, 0.585214, -nan, -0.00540403
7, 277, 200, -nan, 0.562392, -nan, 0.0203698
7, 278, 200, -nan, 0.556941, -nan, 0.0203919
7, 279, 200, -nan, 0.613823, -nan, -0.00278443
8, 280, 200, -nan, 0.562674, -nan, -7.93272e-05
8, 281, 200, -nan, 0.639975, -nan, 0.00597939
8, 282, 200, -nan, 0.602833, -nan, 0.0221964
8, 283, 200, -nan, 0.59439, -nan, 0.027692
8, 284, 200, -nan, 0.601389, -nan, -0.0108773
8, 285, 200, -nan, 0.599715, -nan, 0.0132996
8, 286, 200, -nan, 0.581253, -nan, -0.0148549
8, 287, 200, -nan, 0.684219, -nan, -0.0189201
8, 288, 200, -nan, 0.664257, -nan, 0.00046548
8, 289, 200, -nan, 0.571652, -nan, 0.0232418
8, 290, 200, -nan, 0.593262, -nan, 0.0256119
8, 291, 200, -nan, 0.593638, -nan, 0.0151447
8, 292, 200, -nan, 0.560605, -nan, 0.0174791
8, 293, 200, -nan, 0.598969, -nan, 0.0232499
8, 294, 200, -nan, 0.583038, -nan, -0.0109222
8, 295, 200, -nan, 0.591577, -nan, 0.0113911
8, 296, 200, -nan, 0.578935, -nan, 0.0126448
8, 297, 200, -nan, 0.564084, -nan, 0.00679987
8, 298, 200, -nan, 0.601201, -nan, 0.0126392
8, 299, 200, -nan, 0.576915, -nan, 0.0128128
8, 300, 200, -nan, 0.612915, -nan, -0.00207013
8, 301, 200, -nan, 0.581022, -nan, -0.0229004
8, 302, 200, -nan, 0.59692, -nan, -0.00946154
8, 303, 200, -nan, 0.570306, -nan, 0.0212413
8, 304, 200, -nan, 0.672272, -nan, -0.00624048
8, 305, 200, -nan, 0.538909, -nan, -0.00430054
8, 306, 200, -nan, 0.511211, -nan, 0.0270048
8, 307, 200, -nan, 0.578549, -nan, 0.0203701
8, 308, 200, -nan, 0.600961, -nan, 0.00290131
8, 309, 200, -nan, 0.50694, -nan, 0.00835195
8, 310, 200, -nan, 0.64978, -nan, 0.0175303
8, 311, 200, -nan, 0.546334, -nan, -0.0052551
8, 312, 200, -nan, 0.590528, -nan, -0.0127844
8, 313, 200, -nan, 0.587336, -nan, 0.0199702
8, 314, 200, -nan, 0.563169, -nan, 0.0153281
8, 315, 200, -nan, 0.658619, -nan, 0.00568293
8, 316, 200, -nan, 0.578642, -nan, 0.00184303
8, 317, 200, -nan, 0.565056, -nan, 0.0133056
8, 318, 200, -nan, 0.56948, -nan, 0.0119959
8, 319, 200, -nan, 0.636565, -nan, 0.0055726
9, 320, 200, -nan, 0.555042, -nan, 0.0144784
9, 321, 200, -nan, 0.631203, -nan, -0.0132182
9, 322, 200, -nan, 0.554745, -nan, 0.00651104
9, 323, 200, -nan, 0.556537, -nan, -0.0155211
9, 324, 200, -nan, 0.652601, -nan, -0.00628029
9, 325, 200, -nan, 0.587531, -nan, 0.0156123
9, 326, 200, -nan, 0.534029, -nan, 0.0217257
9, 327, 200, -nan, 0.541952, -nan, 0.0149886
9, 328, 200, -nan, 0.556684, -nan, -0.0183859
9, 329, 200, -nan, 0.633521, -nan, -0.0135366
9, 330, 200, -nan, 0.568226, -nan, 0.0203995
9, 331, 200, -nan, 0.5729, -nan, 0.00521575
9, 332, 200, -nan, 0.543455, -nan, 0.0134425
9, 333, 200, 0.125, 0.558719, -0.823218, -0.00626695
9, 334, 200, -nan, 0.634425, -nan, -0.0126617
9, 335, 200, -nan, 0.551998, -nan, -0.000488716
9, 336, 200, -nan, 0.583536, -nan, 0.00551268
9, 337, 200, -nan, 0.557175, -nan, -0.0142687
9, 338, 200, -nan, 0.776841, -nan, 0.0111732
9, 339, 200, -nan, 0.578422, -nan, 0.016073
9, 340, 200, -nan, 0.666117, -nan, 0.00729162
9, 341, 200, -nan, 0.633362, -nan, 0.0243692
9, 342, 200, -nan, 0.60851, -nan, 0.00984492
9, 343, 200, -nan, 0.554074, -nan, 0.00871131
9, 344, 200, -nan, 0.540644, -nan, 0.0151333
9, 345, 200, -nan, 0.564386, -nan, -0.0153596
9, 346, 200, -nan, 0.555483, -nan, -0.0122211
9, 347, 200, -nan, 0.594075, -nan, 0.0161244
9, 348, 200, -nan, 0.523871, -nan, 0.019598
9, 349, 200, -nan, 0.577614, -nan, 0.018856
9, 350, 200, -nan, 0.508415, -nan, -0.0210338
9, 351, 200, -nan, 0.588974, -nan, -0.0153173
9, 352, 200, -nan, 0.567832, -nan, -0.0122475
9, 353, 200, -nan, 0.554282, -nan, -0.0183106
9, 354, 200, -nan, 0.649116, -nan, -0.00959764
9, 355, 200, -nan, 0.589992, -nan, 0.022209
9, 356, 200, -nan, 0.592339, -nan, 0.0221372
9, 357, 200, -nan, 0.579876, -nan, 0.0193398
