5, 161, 200, 16727.7, 18107.1, 527.601, 0, 1541.92, 2735.03, 1661.93, 1694.11, 16467.4, 17729.2
5, 162, 200, 16084.4, 11947, 424.76, 166.667, 1763.15, 2021.49, 1551.61, 3530.86, 15825.3, 10717.9
5, 163, 200, 10304.6, 14682.9, 475.367, 37.1935, 1486.56, 1857.29, 1467.06, 3917.05, 9902.33, 12995.9
5, 164, 200, 15911.3, 13718.4, 396.379, 42.0587, 1732.85, 1457.19, 1345.44, 2322.22, 15335.3, 12928.2
5, 165, 200, 9086.26, 11001, 43.024, 0, 714.294, 1575.66, 603.698, 1509.74, 8865.53, 10362
5, 166, 200, 7273.67, 4795.54, 33.9377, 0, 528.679, 1317.97, 636.533, 1587.14, 7026.23, 4018.24
5, 167, 200, 6906.81, 7777.43, 98.8506, 0, 904.658, 2030.99, 774.659, 1439.95, 6439.28, 6777.27
5, 168, 200, 24834.9, 7343.44, 0, 6.86649, 1111.22, 1947.09, 0, 1410.07, 24763.4, 6491.65
5, 169, 200, 12788.3, 6587.47, 305.917, 6.46843, 888.699, 1369.07, 690.762, 950.692, 12695, 6052.58
5, 170, 200, -nan, 7969.33, -nan, 9.4962, -nan, 2183.29, -nan, 1840.91, -nan, 6871.14
5, 171, 200, 11173.3, 6318.19, 0, 0, 673.31, 1886.98, 0, 1110.9, 11128.1, 5649.05
5, 172, 200, 8390.47, 5535.51, 117.459, 0, 342.952, 1230.35, 666.768, 936.913, 8209.1, 5076.82
5, 173, 200, -nan, 5855.16, -nan, 0, -nan, 2556.72, -nan, 1892.61, -nan, 4221.46
5, 174, 200, -nan, 6127.13, -nan, 0, -nan, 1676.79, -nan, 776.543, -nan, 5539.42
5, 175, 200, 18562.7, 5985.36, 0, 0, 971.873, 2678.86, 0, 1456.73, 18499.7, 4584.44
5, 176, 200, 4.71405e-29, 5590.58, 0, 0, 3.33333e-29, 2804.52, 0, 2293.95, 3.33333e-29, 3687.27
5, 177, 200, 7471.53, 6778.63, 0, 0, 0, 1625.17, 579.65, 1188.43, 7421.6, 6040.24
5, 178, 200, -nan, 5455.54, -nan, 0, -nan, 2111.89, -nan, 1436.2, -nan, 4357.41
5, 179, 200, -nan, 4959.21, -nan, 0, -nan, 1734.67, -nan, 1307.79, -nan, 4070.34
5, 180, 200, -nan, 5946.43, -nan, 0, -nan, 1569.36, -nan, 566.727, -nan, 5520.53
5, 181, 200, -nan, 6106.38, -nan, 0, -nan, 2450.25, -nan, 2014.86, -nan, 4235.18
5, 182, 200, 9984.71, 5093.64, 0, 6.97377, 0, 1327.59, 778.867, 532.858, 9919.52, 4702.96
5, 183, 200, -nan, 6706.08, -nan, 0, -nan, 3116.8, -nan, 2316.56, -nan, 4657.47
5, 184, 200, 721.997, 5745.43, 0, 0, 356.512, 1759.12, 497.026, 1654.99, 342.563, 4656.01
5, 185, 200, -nan, 6634.16, -nan, 0, -nan, 2802.12, -nan, 2276.53, -nan, 4743.09
5, 186, 200, -nan, 5868.15, -nan, 0, -nan, 2048.44, -nan, 1371.19, -nan, 4842.24
5, 187, 200, -nan, 5172.25, -nan, 0, -nan, 2007.64, -nan, 1041.71, -nan, 4346.73
5, 188, 200, -nan, 4974.57, -nan, 0, -nan, 1427.96, -nan, 719.421, -nan, 4498.39
5, 189, 200, 492.349, 4671.92, 78.8992, 0, 321.286, 1767.8, 192.355, 1128.28, 293.032, 3746.68
5, 190, 200, -nan, 5495.02, -nan, 0, -nan, 2535.65, -nan, 1285.41, -nan, 4255.09
5, 191, 200, -nan, 4893.02, -nan, 0, -nan, 1771.92, -nan, 1310.5, -nan, 3867.6
5, 192, 200, 558.073, 6197.74, 0, 0, 380.813, 1927.66, 166.299, 945.706, 363.551, 5410.76
