4, 144, 200, -nan, 6595.27, -nan, 0, -nan, 0, -nan, 0, -nan, 6595.27
4, 145, 200, -nan, 6260.58, -nan, 0, -nan, 0, -nan, 0, -nan, 6260.58
4, 146, 200, -nan, 6424.44, -nan, 0, -nan, 0, -nan, 0, -nan, 6424.44
4, 147, 200, -nan, 6373.77, -nan, 0, -nan, 0, -nan, 0, -nan, 6373.77
4, 148, 200, -nan, 6079.46, -nan, 0, -nan, 0, -nan, 0, -nan, 6079.46
4, 149, 200, -nan, 6840.85, -nan, 0, -nan, 0, -nan, 0, -nan, 6840.85
4, 150, 200, -nan, 6502.79, -nan, 0, -nan, 0, -nan, 0, -nan, 6502.79
4, 151, 200, -nan, 6116.49, -nan, 0, -nan, 0, -nan, 0, -nan, 6116.49
4, 152, 200, -nan, 6109.63, -nan, 0, -nan, 0, -nan, 0, -nan, 6109.63
4, 153, 200, -nan, 6682.85, -nan, 0, -nan, 0, -nan, 0, -nan, 6682.85
4, 154, 200, -nan, 6322.96, -nan, 0, -nan, 0, -nan, 0, -nan, 6322.96
4, 155, 200, -nan, 6087.76, -nan, 0, -nan, 0, -nan, 0, -nan, 6087.76
4, 156, 200, -nan, 6500.9, -nan, 0, -nan, 0, -nan, 0, -nan, 6500.9
4, 157, 200, -nan, 6141.73, -nan, 0, -nan, 0, -nan, 0, -nan, 6141.73
4, 158, 200, -nan, 6177.72, -nan, 0, -nan, 0, -nan, 0, -nan, 6177.72
4, 159, 200, -nan, 6196.94, -nan, 0, -nan, 0, -nan, 0, -nan, 6196.94
5, 160, 200, -nan, 6184.18, -nan, 0, -nan, 0, -nan, 0, -nan, 6184.18
5, 161, 200, -nan, 6220.19, -nan, 0, -nan, 0, -nan, 0, -nan, 6220.19
5, 162, 200, -nan, 6462.44, -nan, 0, -nan, 0, -nan, 0, -nan, 6462.44
5, 163, 200, -nan, 6427.67, -nan, 0, -nan, 0, -nan, 0, -nan, 6427.67
5, 164, 200, -nan, 6294.32, -nan, 0, -nan, 0, -nan, 0, -nan, 6294.32
5, 165, 200, -nan, 6267.55, -nan, 0, -nan, 0, -nan, 0, -nan, 6267.55
5, 166, 200, -nan, 6253.13, -nan, 0, -nan, 0, -nan, 0, -nan, 6253.13
5, 167, 200, -nan, 6450.71, -nan, 0, -nan, 0, -nan, 0, -nan, 6450.71
5, 168, 200, -nan, 6316.8, -nan, 0, -nan, 0, -nan, 0, -nan, 6316.8
5, 169, 200, -nan, 6304.93, -nan, 0, -nan, 0, -nan, 0, -nan, 6304.93
5, 170, 200, -nan, 6308.26, -nan, 0, -nan, 0, -nan, 0, -nan, 6308.26
5, 171, 200, -nan, 6434.64, -nan, 0, -nan, 0, -nan, 0, -nan, 6434.64
5, 172, 200, -nan, 6055.84, -nan, 0, -nan, 0, -nan, 0, -nan, 6055.84
5, 173, 200, -nan, 6499.44, -nan, 0, -nan, 0, -nan, 0, -nan, 6499.44
5, 174, 200, -nan, 6550.44, -nan, 0, -nan, 0, -nan, 0, -nan, 6550.44
5, 175, 200, -nan, 6413.85, -nan, 0, -nan, 0, -nan, 0, -nan, 6413.85
5, 176, 200, -nan, 6244.38, -nan, 0, -nan, 0, -nan, 0, -nan, 6244.38
5, 177, 200, -nan, 6399.11, -nan, 0, -nan, 0, -nan, 0, -nan, 6399.11
5, 178, 200, -nan, 6380.92, -nan, 0, -nan, 0, -nan, 0, -nan, 6380.92
5, 179, 200, -nan, 6310.59, -nan, 0, -nan, 0, -nan, 0, -nan, 6310.59
5, 180, 200, -nan, 6454.08, -nan, 0, -nan, 0, -nan, 0, -nan, 6454.08
5, 181, 200, -nan, 6492.12, -nan, 0, -nan, 0, -nan, 0, -nan, 6492.12
5, 182, 200, -nan, 6229.97, -nan, 0, -nan, 0, -nan, 0, -nan, 6229.97
5, 183, 200, -nan, 6403.5, -nan, 0, -nan, 0, -nan, 0, -nan, 6403.5
5, 184, 200, -nan, 6304.72, -nan, 0, -nan, 0, -nan, 0, -nan, 6304.72
5, 185, 200, -nan, 6090.07, -nan, 0, -nan, 0, -nan, 0, -nan, 6090.07
5, 186, 200, -nan, 6009.39, -nan, 0, -nan, 0, -nan, 0, -nan, 6009.39
5, 187, 200, -nan, 6463.75, -nan, 0, -nan, 0, -nan, 0, -nan, 6463.75
5, 188, 200, -nan, 6449.44, -nan, 0, -nan, 0, -nan, 0, -nan, 6449.44
5, 189, 200, -nan, 6122.46, -nan, 0, -nan, 0, -nan, 0, -nan, 6122.46
5, 190, 200, -nan, 6450.81, -nan, 0, -nan, 0, -nan, 0, -nan, 6450.81
5, 191, 200, -nan, 6149.97, -nan, 0, -nan, 0, -nan, 0, -nan, 6149.97
5, 192, 200, -nan, 6089.83, -nan, 0, -nan, 0, -nan, 0, -nan, 6089.83
5, 193, 200, -nan, 6190.81, -nan, 0, -nan, 0, -nan, 0, -nan, 6190.81
5, 194, 200, -nan, 6490.57, -nan, 0, -nan, 0, -nan, 0, -nan, 6490.57
5, 195, 200, -nan, 6046.13, -nan, 0, -nan, 0, -nan, 0, -nan, 6046.13
5, 196, 200, -nan, 6146.9, -nan, 0, -nan, 0, -nan, 0, -nan, 6146.9
5, 197, 200, -nan, 6371.04, -nan, 0, -nan, 0, -nan, 0, -nan, 6371.04
5, 198, 200, -nan, 6143.43, -nan, 0, -nan, 0, -nan, 0, -nan, 6143.43
5, 199, 200, -nan, 6557.58, -nan, 0, -nan, 0, -nan, 0, -nan, 6557.58
6, 200, 200, -nan, 6443.64, -nan, 0, -nan, 0, -nan, 0, -nan, 6443.64
6, 201, 200, -nan, 6512.7, -nan, 0, -nan, 0, -nan, 0, -nan, 6512.7
6, 202, 200, -nan, 6397.61, -nan, 0, -nan, 0, -nan, 0, -nan, 6397.61
6, 203, 200, -nan, 6490.01, -nan, 0, -nan, 0, -nan, 0, -nan, 6490.01
6, 204, 200, -nan, 6525.89, -nan, 0, -nan, 0, -nan, 0, -nan, 6525.89
6, 205, 200, -nan, 6200.48, -nan, 0, -nan, 0, -nan, 0, -nan, 6200.48
6, 206, 200, -nan, 6138.89, -nan, 0, -nan, 0, -nan, 0, -nan, 6138.89
6, 207, 200, -nan, 6304.77, -nan, 0, -nan, 0, -nan, 0, -nan, 6304.77
6, 208, 200, -nan, 6343.27, -nan, 0, -nan, 0, -nan, 0, -nan, 6343.27
6, 209, 200, -nan, 6536.01, -nan, 0, -nan, 0, -nan, 0, -nan, 6536.01
6, 210, 200, -nan, 6456.18, -nan, 0, -nan, 0, -nan, 0, -nan, 6456.18
6, 211, 200, -nan, 6315.08, -nan, 0, -nan, 0, -nan, 0, -nan, 6315.08
6, 212, 200, -nan, 5810.74, -nan, 0, -nan, 0, -nan, 0, -nan, 5810.74
6, 213, 200, -nan, 6215.68, -nan, 0, -nan, 0, -nan, 0, -nan, 6215.68
6, 214, 200, -nan, 6497.94, -nan, 0, -nan, 0, -nan, 0, -nan, 6497.94
6, 215, 200, -nan, 6207.68, -nan, 0, -nan, 0, -nan, 0, -nan, 6207.68
6, 216, 200, -nan, 6250.81, -nan, 0, -nan, 0, -nan, 0, -nan, 6250.81
6, 217, 200, -nan, 6116.76, -nan, 0, -nan, 0, -nan, 0, -nan, 6116.76
6, 218, 200, -nan, 6416.74, -nan, 0, -nan, 0, -nan, 0, -nan, 6416.74
6, 219, 200, -nan, 6358.12, -nan, 0, -nan, 0, -nan, 0, -nan, 6358.12
6, 220, 200, -nan, 6530.06, -nan, 0, -nan, 0, -nan, 0, -nan, 6530.06
6, 221, 200, -nan, 6799.03, -nan, 0, -nan, 0, -nan, 0, -nan, 6799.03
6, 222, 200, 9748.84, 7457.14, 0, 0, 0, 0, 0, 0, 9748.84, 7457.14
6, 223, 200, 15166.5, 6847.76, 0, 0, 0, 0, 0, 0, 15166.5, 6847.76
6, 224, 200, 6815.91, 6798.65, 0, 0, 0, 0, 0, 0, 6815.91, 6798.65
6, 225, 200, 8889.2, 6941.35, 0, 0, 0, 0, 0, 0, 8889.2, 6941.35
6, 226, 200, -nan, 6556.79, -nan, 0, -nan, 0, -nan, 0, -nan, 6556.79
6, 227, 200, -nan, 6876.63, -nan, 0, -nan, 0, -nan, 0, -nan, 6876.63
6, 228, 200, -nan, 6766.57, -nan, 0, -nan, 0, -nan, 0, -nan, 6766.57
6, 229, 200, -nan, 6945.99, -nan, 0, -nan, 0, -nan, 0, -nan, 6945.99
6, 230, 200, -nan, 6728.58, -nan, 0, -nan, 0, -nan, 0, -nan, 6728.58
6, 231, 200, -nan, 6794.67, -nan, 0, -nan, 0, -nan, 0, -nan, 6794.67
